stn,wban,date,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
012720,99999,2022-03-26,2022,03,26,34.9,4,28.0,4,9999.9,0,999.9,0,999.9,0,999.9,0,999.9,999.9,40.3,,32.0,,0.0,I,999.9,0,0,0,0,0,0
012720,99999,2022-01-15,2022,01,15,35.8,4,32.2,4,9999.9,0,999.9,0,999.9,0,999.9,0,999.9,999.9,38.7,,32.4,,0.0,I,999.9,0,0,0,0,0,0
012720,99999,2022-01-14,2022,01,14,37.5,4,30.1,4,9999.9,0,999.9,0,999.9,0,999.9,0,999.9,999.9,39.2,,35.4,,0.0,I,999.9,0,0,0,0,0,0
012720,99999,2022-01-26,2022,01,26,37.0,4,34.1,4,9999.9,0,999.9,0,999.9,0,999.9,0,999.9,999.9,37.8,,36.0,,0.0,I,999.9,0,0,0,0,0,0
012900,99999,2022-05-07,2022,05,07,39.2,4,30.7,4,9999.9,0,999.9,0,5.0,4,14.5,4,22,33.0,41.0,*,37.4,*,99.99,,999.9,1,0,0,0,0,10000
012900,99999,2022-01-29,2022,01,29,34.7,4,33.8,4,9999.9,0,999.9,0,6.2,4,4.3,4,6,999.9,35.6,*,33.8,*,99.99,,999.9,1,0,0,0,0,10000
012900,99999,2022-08-06,2022,08,06,54.1,4,49.5,4,9999.9,0,999.9,0,6.2,4,8.2,4,12,999.9,57.2,*,51.8,*,99.99,,999.9,1,0,0,0,0,10000
013080,99999,2022-07-31,2022,07,31,57.2,4,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,0,999.9,999.9,59.9,,55.6,,0.0,I,999.9,0,0,0,0,0,0
013080,99999,2022-07-30,2022,07,30,56.4,4,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,0,999.9,999.9,64.8,,47.3,,0.0,G,999.9,0,0,0,0,0,0
013170,99999,2022-02-26,2022,02,26,39.5,4,29.5,4,1025.2,4,20.8,4,999.9,0,13.5,4,16.1,27.2,42.4,,36.3,,0.0,I,999.9,0,0,0,0,0,0
013170,99999,2022-03-06,2022,03,06,37.5,4,31.2,4,1029.8,4,25.2,4,999.9,0,2.8,4,3.9,10.3,42.8,,33.3,*,0.0,I,999.9,0,0,0,0,0,0
013200,99999,2022-03-12,2022,03,12,56.8,4,11.8,4,9999.9,0,999.9,0,6.2,4,5.2,4,8,19.0,57.2,*,55.4,*,0.0,I,999.9,0,0,0,0,0,0
013200,99999,2022-03-19,2022,03,19,50.5,4,33.4,4,9999.9,0,999.9,0,6.2,4,13.5,4,19,28.9,51.8,*,50.0,*,0.0,I,999.9,0,0,0,0,0,0
013210,99999,2022-02-17,2022,02,17,32.7,4,30.0,4,979.5,4,954.6,4,999.9,0,1.6,4,1.9,999.9,34.3,,31.3,,0.0,I,999.9,0,0,0,0,0,0
013320,99999,2022-02-03,2022,02,03,29.3,4,9999.9,0,9999.9,0,999.9,0,999.9,0,2.2,4,3.1,999.9,30.2,*,28.8,,0.0,I,999.9,0,0,0,0,0,0
013360,99999,2022-01-19,2022,01,19,38.3,4,36.8,4,9999.9,0,999.9,0,999.9,0,999.9,0,999.9,999.9,40.6,,35.2,,0.0,I,999.9,0,0,0,0,0,0
013380,99999,2022-02-06,2022,02,06,35.7,4,29.3,4,978.9,4,974.9,4,999.9,0,8.2,4,11.7,21.4,38.1,,32.4,,0.0,G,999.9,1,0,0,0,0,10000
013400,99999,2022-02-23,2022,02,23,26.1,4,23.4,4,1001.7,4,913.6,4,999.9,0,5.1,4,8.7,17.3,29.3,,19.6,,0.0,I,999.9,0,0,0,0,0,0
013400,99999,2022-01-13,2022,01,13,38.6,4,34.4,4,1015.6,4,928.5,4,999.9,0,18.8,4,24.9,44.7,41.5,,36.9,*,0.0,I,999.9,0,0,0,0,0,0
013450,99999,2022-02-17,2022,02,17,24.2,4,20.0,4,9999.9,0,999.9,0,999.9,0,10.1,4,12.4,20.6,25.2,,23.0,,0.0,I,999.9,0,0,0,0,0,0
013460,99999,2022-03-29,2022,03,29,20.7,4,13.2,4,9999.9,0,999.9,0,999.9,0,5.9,4,7.8,12.0,23.5,,19.4,,0.0,I,999.9,0,0,0,0,0,0
013460,99999,2022-03-07,2022,03,07,23.3,4,14.8,4,9999.9,0,999.9,0,999.9,0,3.2,4,6,11.1,25.9,,18.3,,0.0,I,999.9,0,0,0,0,0,0
013500,99999,2022-02-17,2022,02,17,19.9,4,17.1,4,980.7,4,841.9,4,999.9,0,14.9,4,16.1,27.4,20.5,,19.0,,0.0,I,999.9,0,0,0,0,0,0
013550,99999,2022-02-17,2022,02,17,34.4,4,28.9,4,980.5,4,980.0,4,999.9,0,999.9,0,999.9,999.9,34.9,,33.4,,0.0,I,999.9,0,0,0,0,0,0
013570,99999,2022-02-17,2022,02,17,27.5,4,19.2,4,979.5,4,886.1,4,999.9,0,7.6,4,7.8,18.1,28.6,,26.4,,0.0,I,999.9,0,0,0,0,0,0
013590,99999,2022-01-09,2022,01,09,21.7,4,19.5,4,1009.8,4,916.0,4,999.9,0,6.6,4,7.6,15.7,22.1,*,20.8,,99.99,,999.9,1,0,0,0,1000,1000
013660,99999,2022-02-17,2022,02,17,16.9,4,15.6,4,980.4,4,820.0,4,999.9,0,8.9,4,12.4,17.9,17.8,,16.7,,0.0,I,999.9,0,0,0,0,0,0
013700,99999,2022-04-06,2022,04,06,25.4,4,7.7,4,989.7,4,881.2,4,999.9,0,5.2,4,7.6,17.7,31.1,,13.5,,0.0,I,16.9,0,0,0,0,0,0
013740,99999,2022-02-17,2022,02,17,25.9,4,24.0,4,9999.9,0,999.9,0,999.9,0,1.2,4,1.9,999.9,31.5,,22.5,,0.0,I,999.9,0,0,0,0,0,0
013800,99999,2022-02-22,2022,02,22,16.1,4,10.8,4,9999.9,0,999.9,0,999.9,0,6.4,4,6.8,29.9,21.0,,8.1,,0.0,G,999.9,0,0,0,0,0,0
013800,99999,2022-01-19,2022,01,19,26.3,4,20.8,4,9999.9,0,999.9,0,999.9,0,8.6,4,16.1,32.1,33.8,,11.8,,99.99,,999.9,1,0,0,0,1000,1000
013800,99999,2022-03-14,2022,03,14,29.0,4,10.4,4,9999.9,0,999.9,0,999.9,0,3.6,4,5.8,13.0,38.5,,15.8,,0.0,I,999.9,0,0,0,0,0,0
013800,99999,2022-01-26,2022,01,26,23.4,4,20.1,4,9999.9,0,999.9,0,999.9,0,3.1,4,4.1,15.2,27.9,,15.3,,0.0,I,999.9,0,0,0,0,0,0
013810,99999,2022-02-16,2022,02,16,30.2,4,29.4,4,9999.9,0,999.9,0,999.9,0,999.9,0,999.9,999.9,33.6,,27.3,,0.02,E,999.9,0,0,0,0,0,0
013870,99999,2022-03-29,2022,03,29,30.8,4,6.8,4,9999.9,0,999.9,0,999.9,0,999.9,0,999.9,999.9,38.5,,25.0,,0.0,I,999.9,0,0,0,0,0,0
013920,99999,2022-02-17,2022,02,17,28.2,4,24.7,4,979.1,4,956.7,4,999.9,0,0.9,4,1.4,999.9,32.2,,24.6,,0.0,I,999.9,0,0,0,0,0,0
013930,99999,2022-04-06,2022,04,06,27.7,4,14.2,4,989.3,4,909.6,4,999.9,0,5,4,6.6,15.2,32.0,,19.6,,0.0,I,13.4,0,0,0,0,0,0
014120,99999,2022-04-02,2022,04,02,30.7,4,27.1,4,1021.1,4,17.9,4,999.9,0,6,4,12.8,17.3,39.6,,24.1,,0.0,I,999.9,0,0,0,0,0,0
014120,99999,2022-02-26,2022,02,26,39.4,4,9999.9,0,1028.4,4,25.2,4,999.9,0,19,4,23.7,33.4,41.9,,33.6,,0.0,G,999.9,0,0,0,0,0,0
014120,99999,2022-02-28,2022,02,28,40.6,4,9999.9,0,1023.5,4,20.3,4,999.9,0,29.7,4,31.5,42.2,41.9,,39.4,,0.0,I,999.9,0,0,0,0,0,0
014120,99999,2022-03-11,2022,03,11,41.5,4,9999.9,0,1019.7,4,16.5,4,999.9,0,20.9,4,23.7,36.9,48.9,,37.6,,0.0,I,999.9,0,0,0,0,0,0
014170,99999,2022-02-17,2022,02,17,36.5,4,34.7,4,9999.9,0,999.9,0,999.9,0,999.9,0,999.9,999.9,37.8,,34.9,,0.0,I,999.9,0,0,0,0,0,0
014180,99999,2022-02-17,2022,02,17,38.1,4,9999.9,0,9999.9,0,999.9,0,999.9,0,999.9,0,999.9,999.9,40.6,,34.5,,0.0,I,999.9,0,0,0,0,0,0
014220,99999,2022-02-05,2022,02,05,38.4,4,36.1,4,9999.9,0,999.9,0,999.9,0,10.5,4,16.3,36.7,43.5,,34.9,,0.17,G,999.9,0,0,0,0,0,0
014360,99999,2022-03-01,2022,03,01,41.7,4,38.7,4,9999.9,0,999.9,0,999.9,0,13,4,19.6,27.2,43.0,,40.5,,0.0,I,999.9,0,0,0,0,0,0
014360,99999,2022-02-22,2022,02,22,38.5,4,29.4,4,9999.9,0,999.9,0,999.9,0,10.4,4,16.7,19.8,39.9,,36.3,,99.99,,999.9,1,0,0,0,0,10000
014360,99999,2022-01-07,2022,01,07,39.5,4,37.2,4,9999.9,0,999.9,0,999.9,0,11.4,4,15.5,21.8,42.4,,33.6,,0.0,I,999.9,0,0,0,0,0,0
014690,99999,2022-02-17,2022,02,17,32.6,4,27.6,4,979.9,4,963.0,4,999.9,0,2.2,4,3.1,999.9,34.5,,30.4,,0.0,I,999.9,0,0,0,0,0,0
